date,eurostoxx50
2013-01-16,2702.54
2013-01-17,2718.93
2013-01-18,2709.59
2013-01-21,2726.63
2013-01-22,2716.7
2013-01-23,2708.28
2013-01-24,2722.96
2013-01-25,2744.18
2013-01-28,2744.5
2013-01-29,2749.27
2013-01-30,2732.12
2013-01-31,2702.98
2013-02-01,2710.08
2013-02-04,2625.17
2013-02-05,2651.21
2013-02-06,2617.35
2013-02-07,2597.92
2013-02-08,2630.3
2013-02-11,2622.61
2013-02-12,2648.83
2013-02-13,2656.86
2013-02-14,2635.35
2013-02-15,2615.26
2013-02-18,2616.65
2013-02-19,2662.37
2013-02-20,2640.35
2013-02-21,2579.76
2013-02-22,2630.05
2013-02-25,2651.86
2013-02-26,2570.52
2013-02-27,2611.89
2013-02-28,2633.55
2013-03-01,2616.75
2013-03-04,2619.78
2013-03-05,2683.02
2013-03-06,2679.89
2013-03-07,2690.85
2013-03-08,2728.78
2013-03-11,2718.71
2013-03-12,2711.85
2013-03-13,2704.73
2013-03-14,2744.7
2013-03-15,2725.72
2013-03-18,2705.47
2013-03-19,2671.96
2013-03-20,2708.9
2013-03-21,2683.92
2013-03-22,2681.67
2013-03-25,2649.28
2013-03-26,2641.12
2013-03-27,2612.46
2013-03-28,2624.02
2013-04-02,2679.8
2013-04-03,2639.01
2013-04-04,2621.43
2013-04-05,2585.28
2013-04-08,2589.25
2013-04-09,2595.13
2013-04-10,2661.62
2013-04-11,2674.33
2013-04-12,2633.47
2013-04-15,2624.71
2013-04-16,2609.3
2013-04-17,2553.49
2013-04-18,2555.5
2013-04-19,2575.16
2013-04-22,2583.62
2013-04-23,2662.88
2013-04-24,2702.05
2013-04-25,2704.41
2013-04-26,2683.43
2013-04-29,2717.38
2013-04-30,2712.0
2013-05-02,2718.9
2013-05-03,2763.68
2013-05-06,2750.52
2013-05-07,2769.08
2013-05-08,2784.62
2013-05-10,2785.24
2013-05-13,2777.39
2013-05-14,2795.63
2013-05-15,2809.58
2013-05-16,2806.7
2013-05-17,2817.99
2013-05-21,2821.65
2013-05-22,2835.01
2013-05-23,2776.78
2013-05-24,2764.29
2013-05-27,2795.0
2013-05-28,2835.87
2013-05-29,2786.54
2013-05-30,2799.2
2013-05-31,2769.64
2013-06-03,2747.74
2013-06-04,2755.7
2013-06-05,2709.33
2013-06-06,2676.21
2013-06-07,2724.08
2013-06-10,2719.4
2013-06-11,2683.2
2013-06-12,2666.52
2013-06-13,2661.71
2013-06-14,2667.32
2013-06-17,2702.69
2013-06-18,2700.93
2013-06-19,2683.98
2013-06-20,2586.45
2013-06-21,2549.48
2013-06-24,2511.83
2013-06-25,2543.37
2013-06-26,2602.81
2013-06-27,2619.86
2013-06-28,2602.59
2013-07-01,2622.62
2013-07-02,2603.2
2013-07-03,2570.76
2013-07-04,2646.54
2013-07-05,2596.01
2013-07-08,2650.85
2013-07-09,2664.14
2013-07-10,2659.71
2013-07-11,2681.32
2013-07-12,2674.87
2013-07-15,2686.69
2013-07-16,2665.61
2013-07-17,2681.88
2013-07-18,2717.99
2013-07-19,2716.17
2013-07-22,2725.4
2013-07-23,2722.9
2013-07-24,2752.25
2013-07-25,2740.29
2013-07-26,2741.96
2013-07-29,2741.73
2013-07-30,2759.21
2013-07-31,2768.15
2013-08-02,2811.0
2013-08-05,2809.08
2013-08-06,2790.78
2013-08-07,2794.44
2013-08-08,2816.88
2013-08-09,2825.62
2013-08-12,2827.15
2013-08-13,2841.61
2013-08-14,2852.08
2013-08-15,2835.86
2013-08-16,2854.27
2013-08-19,2823.35
